feature,cohens_d_HminusL,abs_d
dep_rel_root,-0.15595120166936882,0.15595120166936882
n_sentences,-0.1499143404064285,0.1499143404064285
avg_sentence_length,0.14335547255668246,0.14335547255668246
pos_NUM,0.14281412283352185,0.14281412283352185
dep_distance_mean,-0.12869176605692983,0.12869176605692983
pos_ADV,-0.1272461786857579,0.1272461786857579
dep_rel_cop,0.09253069054674816,0.09253069054674816
pos_AUX,0.08487308113666966,0.08487308113666966
gender_Neut,-0.06622009091374997,0.06622009091374997
gender_Masc,0.06162483079371108,0.06162483079371108
dep_rel_acl,0.06028290063930655,0.06028290063930655
dep_rel_nmod,0.060256816028480306,0.060256816028480306
case_Acc,-0.05887605760076957,0.05887605760076957
mood_Opt,-0.05669581966477536,0.05669581966477536
pos_SCONJ,-0.05272753045841467,0.05272753045841467
pos_NOUN,0.050597658741826076,0.050597658741826076
dep_rel_obl,0.04857480563997118,0.04857480563997118
dep_rel_det,0.04775784629196614,0.04775784629196614
lexical_density,-0.04773286886901572,0.04773286886901572
case_Gen,0.04654476842547128,0.04654476842547128
pos_DET,0.04618839895886565,0.04618839895886565
pos_INTJ,-0.04391056136786103,0.04391056136786103
dep_rel_conj,0.04347829888940111,0.04347829888940111
dep_rel_mark,-0.04108479046230897,0.04108479046230897
mood_entropy,-0.03991708221900882,0.03991708221900882
pos_CCONJ,-0.03893751336198286,0.03893751336198286
dep_rel_cc,-0.037838143903784066,0.037838143903784066
pos_ADP,-0.03667280217395179,0.03667280217395179
avg_word_length,-0.03648794359030434,0.03648794359030434
dep_rel_case,-0.036293715891129265,0.036293715891129265
mood_Ind,0.035558369033302395,0.035558369033302395
dep_rel_advcl,0.035247987989121814,0.035247987989121814
dep_rel_nsubj,0.032997232538837684,0.032997232538837684
hapax_legomena,-0.03220290173276558,0.03220290173276558
aspect_Imp,-0.028771230260494423,0.028771230260494423
aspect_Perf,0.028771230260493847,0.028771230260493847
pos_PROPN,0.027893081098197277,0.027893081098197277
dep_rel_parataxis,0.02716640557817329,0.02716640557817329
case_entropy,0.027101419303725796,0.027101419303725796
pos_VERB,0.026819403122473662,0.026819403122473662
n_types,-0.026718020600382066,0.026718020600382066
mood_Sub,-0.025750181305657177,0.025750181305657177
n_tokens,-0.024209014124543078,0.024209014124543078
dep_rel_flat,-0.02381702518668272,0.02381702518668272
dep_rel_obj,0.02379435623467576,0.02379435623467576
noun_verb_ratio,0.022385190898626325,0.022385190898626325
L_Root_TTR,-0.020326619854595118,0.020326619854595118
dep_rel_appos,0.019430472291138194,0.019430472291138194
tense_Past,0.019327636613585483,0.019327636613585483
dep_rel_fixed,0.017844977134679037,0.017844977134679037
tense_Pres,-0.017127971268142257,0.017127971268142257
mood_Imp,0.015154567913990275,0.015154567913990275
L_Log_TTR,-0.015044921420330098,0.015044921420330098
dep_rel_aux,-0.014030169343171568,0.014030169343171568
case_Nom,0.014002438371335416,0.014002438371335416
L_MTLD,-0.013628042366166526,0.013628042366166526
dep_distance_std,0.01322517263571652,0.01322517263571652
dep_rel_xcomp,0.013142400756822189,0.013142400756822189
case_Dat,0.013009825437895254,0.013009825437895254
pos_PRON,-0.012599629530153837,0.012599629530153837
dep_rel_advmod,-0.01050043815418128,0.01050043815418128
tense_Fut,-0.009459128720616288,0.009459128720616288
L_TTR,-0.009302114237924798,0.009302114237924798
gender_Fem,-0.007110033911902069,0.007110033911902069
dep_rel_ccomp,0.00665670008110101,0.00665670008110101
text_entropy,-0.006008574388641174,0.006008574388641174
dep_rel_amod,-0.004907196912427067,0.004907196912427067
case_Voc,-0.0015087553353187297,0.0015087553353187297
pos_ADJ,-0.0013646551349598168,0.0013646551349598168
chunk_index,0.0,0.0
