feature,delta_restricted_minus_free,mean_restricted,mean_free
L_MTLD,-22.926152968706248,209.1884853440681,232.11463831277436
n_sentences,-0.42700453857791487,20.296142208774583,20.723146747352498
dep_distance_mean,-0.07675684001565841,2.9284820985793507,3.005238938595009
L_Root_TTR,-0.07639754685131628,12.970813830978843,13.047211377830159
L_TTR,-0.02180027009979224,0.6495818636818333,0.6713821337816256
lexical_density,-0.016160805859847804,0.5675444699368808,0.5837052757967286
avg_word_length,-0.01577794739807281,5.219645004627788,5.235422952025861
mood_entropy,-0.010361187131343264,0.7729294979936312,0.7832906851249745
case_Nom,-0.010193851566373285,0.19703249189048305,0.20722634345685634
pos_ADV,-0.008821585034543583,0.1396933258384716,0.1485149108730152
case_Acc,-0.007284836615435997,0.40660109573177144,0.41388593234720744
gender_Fem,-0.007250286334499423,0.22619818599161268,0.2334484723261121
gender_Neut,-0.006728033753250762,0.20508308420829915,0.21181111796154992
tense_Past,-0.005542901940854217,0.4617148327458142,0.4672577346866684
L_Log_TTR,-0.005051338094853253,0.927644154484332,0.9326954925791853
dep_rel_root,-0.0039655536295514215,0.05068455049441025,0.05465010412396167
dep_rel_advmod,-0.003709783456877197,0.08238113127591751,0.0860909147327947
aspect_Imp,-0.0035769916858449657,0.13563408841428695,0.13921108010013192
pos_VERB,-0.0031330857048202654,0.20323546690125205,0.20636855260607231
dep_rel_mark,-0.0022401624036609107,0.027285050470879525,0.029525212874540435
pos_NOUN,-0.0021689178666030873,0.1451911789674404,0.1473600968340435
dep_rel_obj,-0.002123982626810142,0.09102808500775914,0.09315206763456928
pos_ADJ,-0.002037217253880813,0.07942449822971666,0.08146171548359747
pos_SCONJ,-0.002003396722967763,0.024202424133222367,0.02620582085619013
tense_Fut,-0.0020018259412288505,0.04564192884954337,0.04764375479077222
dep_rel_nsubj,-0.0012027524982044513,0.056682469622362154,0.057885222120566605
mood_Opt,-0.001199683249419957,0.026554393057610207,0.027754076307030164
dep_rel_xcomp,-0.0007836705012688773,0.029183548834867228,0.029967219336136105
dep_rel_advcl,-0.000553673309269892,0.0684755606484439,0.06902923395771379
dep_rel_amod,-0.00032089151220088263,0.020841743654542434,0.021162635166743316
dep_rel_ccomp,-0.00022947957314832165,0.017166535411851477,0.0173960149849998
mood_Sub,-0.00022731367593790963,0.10457662566227528,0.10480393933821319
dep_rel_parataxis,-6.7470499947115854e-06,0.0010813457608113103,0.0010880928108060219
dep_rel_flat,-3.4120174784568965e-08,9.431791172597958e-07,9.772992920443647e-07
dep_rel_iobj,0.0,0.0,0.0
aspect_Aor,0.0,0.0,0.0
pos_X,0.0,0.0,0.0
chunk_index,0.0,10.013615733736762,10.013615733736762
pos_PART,0.0,0.0,0.0
pos_PUNCT,0.0,0.0,0.0
dep_rel_punct,0.0,0.0,0.0
pos_PROPN,1.0074121341258546e-05,0.0007216823590471965,0.0007116082377059379
dep_rel_fixed,3.21411190929586e-05,0.000500323917349136,0.0004681827982561774
dep_rel_aux,5.9922267216486284e-05,0.0002510529580444718,0.00019113069082798552
mood_Imp,6.918648520044812e-05,0.03613001596007703,0.036060829474876585
dep_rel_appos,0.00027266746718266135,0.002268059994195246,0.0019953925270125845
pos_INTJ,0.00043750466182701595,0.004408797359782099,0.003971292697955083
pos_NUM,0.0006085473812804214,0.011349262917479489,0.010740715536199067
dep_rel_cc,0.0007749486188796395,0.062369551390923414,0.061594602772043774
pos_CCONJ,0.0009204371164257194,0.060865611526258974,0.059945174409833255
dep_rel_acl,0.0010884887456771627,0.013106938868638592,0.01201845012296143
dep_rel_conj,0.0012048821225368392,0.06093054268965818,0.05972566056712134
mood_Ind,0.0013578104401573698,0.8327389653200373,0.83138115487988
dep_rel_case,0.0014469498107046591,0.05381501062550204,0.05236806081479738
pos_ADP,0.0015258028698226234,0.05391002005995381,0.052384217190131185
case_Voc,0.0017779576082526047,0.0124208587144121,0.010642901106159496
text_entropy,0.0020195825206741347,7.591155846755736,7.589136264235062
noun_verb_ratio,0.0022311485653956353,0.7392083442430248,0.7369771956776292
dep_rel_nmod,0.0024945074112773594,0.025596841182898376,0.023102333771621016
case_Dat,0.002612797630402397,0.14297000238856464,0.14035720475816224
dep_rel_cop,0.0026623593836515944,0.01636326005034742,0.013700900666695827
dep_rel_obl,0.0027085052815980226,0.09189117115211357,0.08918266587051554
pos_AUX,0.003057578478511073,0.01861414412697342,0.015556565648462348
aspect_Perf,0.0035769916858451323,0.8643659115857131,0.8607889198998679
pos_PRON,0.005186027409324875,0.11091787349983798,0.1057318460905131
pos_DET,0.0064182305442825605,0.1474657140805635,0.14104748353628094
dep_rel_det,0.006912082630144367,0.153807298284872,0.14689521565472763
tense_Pres,0.007924160759308907,0.489721095825562,0.4817969350662531
case_entropy,0.008997929367870139,1.9171181854595136,1.9081202560916435
case_Gen,0.013087932943154218,0.24097555127476855,0.22788761833161433
gender_Masc,0.013323842039022482,0.5611343726016091,0.5478105305625867
dep_distance_std,0.017036557652385653,3.1684207582854556,3.15138420063307
hapax_legomena,0.24130105900152898,202.92927382753405,202.68797276853252
avg_sentence_length,1.6428766489650037,20.76172861860817,19.118851969643167
n_types,5.338502269288966,259.64334341906203,254.30484114977307
n_tokens,20.744704992435686,400.3702723146747,379.625567322239
